kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,(P7-4) has in any event been complied with as it applies only where the.,0.0,1395,2,4,58,130,15,0.36527907848358154
none,"(b) the lawful arrest or detention of a person for non-
 compliance with the lawful order of a court or in order to secure.",0.0,142,8,10,364,488,24,0.42624738812446594
none,"(cf.,
e.g., Eur.",0.0,1345,0,5,0,17,4,0.2975003123283386
none,"(cf., e.g., Eur.",0.0,1326,0,4,0,16,4,0.2975003123283386
none,"(cf., e.g., Eur.",0.0,1350,0,5,0,16,4,0.2975003123283386
none,(including the S.A.S soldiers and Security Service personnel involved.,0.0,1211,1,8,59,129,11,0.3697718381881714
none,"(see Olivier de Schutter's commentary on that judgment in Revue trimestrielle des droits de l'homme, Brussels, 1997, pp.",0.0,676,0,2,0,120,18,0.44154345989227295
none,"(see paragraph 26 above), which the Court examined in its Wynne v. the United Kingdom judgment of 18 July 1994 (Series A no.",0.0,919,0,2,0,124,23,0.36366164684295654
none,"(see the Artico v. Italy judgment of 13 May 1980, Series A no.",0.0,361,0,4,0,62,13,0.4725227653980255
none,"(see the Bryan v. the United Kingdom judgment of 22 November 1995, Series A no.",0.0,216,0,3,0,79,15,0.4426824748516083
none,"(see the Buckley v. the United Kingdom judgment of 25 September 1996, Reports of Judgments and Decisions 1996-IV, pp.",0.0,649,0,3,0,117,20,0.41173622012138367
none,"(see the Cardot v. France judgment of 19 March 1991, Series A no.",0.0,1922,0,3,0,65,13,0.528018593788147
none,"(see the De Cubber v. Belgium judgment of 26 October 1984, Series A no.",0.0,209,0,4,0,71,14,0.44059833884239197
none,"(see the Engel and Others v. the Netherlands judgment of 18 June 1976, Series A no.",0.0,191,0,7,0,83,16,0.4314833879470825
none,"(see the Guzzardi v. Italy judgment of 6 November 1980, Series A no.",0.0,1950,0,3,0,68,13,0.454570472240448
none,"(see the Oberschlick v. Austria judgment of 23 May 1991, Series A no.",0.0,704,0,3,0,69,13,0.5279844999313354
none,"(see the Oberschlick v. Austria judgment of 23 May 1991, Series A no.",0.0,420,0,3,0,69,13,0.5279844999313354
none,"(see, as a recent authority, the Tolstoy Miloslavsky v. the United Kingdom judgment of 13 July 1995, Series A no.",0.0,339,0,4,0,113,20,0.40563109517097473
none,"(see, for example, the Schmautzer v. Austria judgment of 23 October 1995, Series A no.",0.0,213,0,3,0,86,15,0.3892601728439331
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0.0,900,0,5,0,83,15,0.3979819715023041
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0.0,915,0,5,0,83,15,0.3979819715023041
none,"(see, for instance, the Ciulla v. Italy judgment of 22 February 1989, Series A no.",0.0,897,0,3,0,82,15,0.3993700444698334
none,"(see, for instance, the Murray v. the United Kingdom judgment of 28 October 1994, Series A no.",0.0,911,0,3,0,94,17,0.3709532618522644
none,"(see, inter alia, the Fox, Campbell and Hartley v. the United Kingdom judgment of 30 August 1990, Series A no.",0.0,1583,0,5,0,110,20,0.36467111110687256
none,"(see, most recently, the Keegan v. Ireland judgment of 26 May 1994, Series A no.",0.0,551,0,5,0,80,15,0.5680001378059387
none,"), I examined the genesis of this doctrine.",0.0,446,6,11,394,437,7,0.32551342248916626
none,1 (P1-1) has been disclosed in the present case.,0.0,1131,1,2,105,153,10,0.45923277735710144
none,1 (a) and (b) (Art.,0.0,135,1,3,72,91,5,0.29120370745658875
none,"1 (criminal) and 2, Article 8 (Art.",0.0,1136,1,6,82,117,7,0.29637888073921204
none,1 and 2 (Art.,0.0,1104,1,3,102,115,4,0.289163738489151
none,1 and 3 (d) (art.,0.0,1011,1,4,103,120,5,0.28654053807258606
none,1 and 3 (d) (art.,0.0,1057,1,4,103,120,5,0.28654053807258606
none,1 of the Convention (art.,0.0,883,1,3,149,174,5,0.28075626492500305
none,1 of the Convention (art.,0.0,898,1,3,16,41,5,0.28075626492500305
none,1 of the Convention (art.,0.0,913,1,4,73,98,5,0.28075626492500305
none,1 of the Convention (art.,0.0,188,1,3,127,152,5,0.28075626492500305
none,1 of the Federal Constitution to formal decisions of.,0.0,1249,3,6,159,212,9,0.30063992738723755
none,1 of the Road Traffic Act,0.0,1397,5,6,211,236,6,0.37048691511154175
none,"10) of the Convention provides:

 ""1.",0.0,1177,1,7,17,56,6,0.30130258202552795
none,10) was so closely and directly bound up with the deceased applicant's person that his heirs could not assert any specific legal interest which would enable them to continue the proceedings in his stead.,0.0,1908,1,2,132,335,34,0.4637828469276428
none,"10-2) apply in the instant case, the applicant was of the opinion that it had not been satisfied.",0.0,346,2,3,73,170,19,0.34537506103515625
none,"10-2) expressly recognises, however, the exercise of that freedom carries with it duties and responsibilities.",0.0,1840,1,2,35,145,16,0.3501719832420349
none,"10078/82, Dec.
13.12.84, D.R.",0.0,1244,9,13,343,373,8,0.34319981932640076
none,"10148/82, Dec. 14.3.85, D.R.",0.0,1336,3,5,124,152,8,0.3424278497695923
none,"10148/82, Decisions and Reports 42, p. 98).",0.0,285,1,3,210,253,8,0.5301931500434875
none,"10530/83, Dec. 16.5.85, D.R.",0.0,110,2,4,13,41,8,0.34370893239974976
