kp,#sentences,sentences_coverage,#comments,comments_coverage
none,124,0.6702702702702703,60,0.9090909090909091
The applicant complains under Article 6 (Art.,14,0.07567567567567568,11,0.16666666666666666
"For instance, he suffered stenocardiac arrests and had.",10,0.05405405405405406,9,0.13636363636363635
"Within six months of this date, i.e.",9,0.04864864864864865,9,0.13636363636363635
After the Convention entered into.,5,0.02702702702702703,5,0.07575757575757576
"However, following a deterioration of his.",4,0.021621621621621623,4,0.06060606060606061
The Union is a non-governmental.,4,0.021621621621621623,3,0.045454545454545456
The applicant filed an appeal.,4,0.021621621621621623,4,0.06060606060606061
The applicant has therefore exhausted domestic remedies and also.,4,0.021621621621621623,4,0.06060606060606061
The prohibition was renewed in November.,4,0.021621621621621623,4,0.06060606060606061
"However, the applicant's various complaints raise.",3,0.016216216216216217,3,0.045454545454545456
