kp,#sentences,sentences_coverage,#comments,comments_coverage
none,1461,0.551528878822197,971,0.6596467391304348
Regarding the alleged violation of Article 5 para.,195,0.07361268403171008,167,0.11345108695652174
Everyone has the right to the freedom of expression.,155,0.058512646281615704,137,0.09307065217391304
"(see, inter alia and mutatis mutandis, the following judgments:",136,0.051340128350320875,114,0.07744565217391304
The applicant has therefore exhausted domestic remedies and also.,94,0.03548508871272178,87,0.059103260869565216
"The applicable principles are, nonetheless, similar.",87,0.03284258210645526,83,0.05638586956521739
"Having regard to all these considerations,",72,0.027180067950169876,72,0.04891304347826087
"Thus, they cannot, on arguable grounds, claim.",62,0.023405058512646282,60,0.04076086956521739
No such action has been brought.,58,0.021895054737636845,53,0.036005434782608696
The applicant also complains of degrading treatment contrary to.,47,0.01774254435636089,47,0.03192934782608696
"the ""protection of the reputation or rights of others"".",43,0.016232540581351453,42,0.028532608695652172
In the light of the reasons.,39,0.014722536806342015,37,0.025135869565217392
"Within six months of this date, i.e.",33,0.01245753114382786,30,0.020380434782608696
The needs of democracy justify transparency in such matters.,26,0.009815024537561345,26,0.017663043478260868
The Commission finds that these complaints raise complex issues.,23,0.008682521706304265,22,0.014945652173913044
who was detained over a long period of time.,22,0.008305020762551907,21,0.014266304347826086
Since the only justification for his detention is risk.,20,0.007550018875047188,19,0.012907608695652174
the application is of such general interest,20,0.007550018875047188,19,0.012907608695652174
The Order merely allows the trier of fact.,19,0.007172517931294828,19,0.012907608695652174
The applicant filed an appeal.,19,0.007172517931294828,18,0.012228260869565218
"For instance, he suffered stenocardiac arrests and had.",18,0.006795016987542469,16,0.010869565217391304
